title,link,keyword,source,clean_title,tokens,label
재개발 꿈 영그는 응암동 다래마을,https://n.news.naver.com/mnews/article/024/0000097102?sid=101,재개발,naver,재개발 꿈 영그는 응암동 다래마을,"['재개발', '꿈', '영', '그', '응암동', '다래', '마을']",2
수도권 재개발 대형 사업지도 잇따라 유찰,https://www.newsway.co.kr/news/view?ud=2025051217470353122,재개발,naver,수도권 재개발 대형 사업지도 잇따라 유찰,"['수도권', '재개발', '대형', '사업', '지도', '잇따라', '유찰']",2
거창군 가조면 미래를 위한 중장기 발전 청사진 완성,http://www.gndomin.com/news/articleView.html?idxno=433794,리모델링,naver,거창군 가조면 미래를 위한 중장기 발전 청사진 완성,"['거창군', '가조면', '미래', '위', '중', '장기', '발전', '청사진', '완성']",2
경남도 산청 법평지구 정비사업 현장 점검,http://www.gndomin.com/news/articleView.html?idxno=433849,정비사업,naver,경남도 산청 법평지구 정비사업 현장 점검,"['경남', '산청', '법평', '지구', '정비', '사업', '현장', '점검']",2
한강맨션 재건축 59층 1685세대로 재추진,https://n.news.naver.com/mnews/article/277/0005590570?sid=102,조합 설립,naver,한강맨션 재건축 59층 1685세대로 재추진,"['한강', '맨션', '재건축', '59', '층', '1685', '세대', '로', '재', '추진']",2
부산서 190억대 전세사기 피해자들 2년만에 보증금 회수,https://n.news.naver.com/mnews/article/421/0008245470?sid=102,이주계획,naver,부산서 190억대 전세사기 피해자들 2년만에 보증금 회수,"['부산', '서', '190억', '대', '전세', '사기', '피해자', '2년', '만에', '보증금', '회수']",0
동양연립소규모재건축사업조합 시공자 선정,http://www.housingherald.co.kr/news/articleView.html?idxno=50057,소규모재건축,naver,동양연립소규모재건축사업조합 시공자 선정,"['동', '양', '연', '립', '소규모', '재건축', '사업', '조합', '시', '공자', '선정']",2
경북 산불 피해 복구비 1조 8천억 확정,http://news.lghellovision.net/news/articleView.html?idxno=506050,실거래가,naver,경북 산불 피해 복구비 1조 8천억 확정,"['경북', '산불', '피해', '복구', '비', '1조', '8천억', '확정']",0
4월 강남구 아파트 매매 절반 이상이 신고가 기록,http://www.arunews.com/news/articleView.html?idxno=48715,실거래가,naver,4월 강남구 아파트 매매 절반 이상이 신고가 기록,"['4월', '강남구', '아파트', '매매', '절반', '이상', '신고', '기록']",2
울산 아파트 전세가 오르니 전세가율도 동반 상승,https://www.iusm.co.kr/news/articleView.html?idxno=1051057,전세가율,naver,울산 아파트 전세가 오르니 전세가율도 동반 상승,"['울산', '아파트', '전세', '오르니', '전', '세', '가율', '동반', '상승']",1
서울 강남권 아파트값 상승으로 전세가율 역대 최저,https://n.news.naver.com/mnews/article/001/0015371108?sid=101,전세가율,naver,서울 강남권 아파트값 상승으로 전세가율 역대 최저,"['서울', '강남', '권', '아파트', '값', '상승', '전세', '가율', '역대', '최저']",1
미국 주택가격 상승세 둔화 지속,http://www.choicenews.co.kr/news/articleView.html?idxno=146954,주택 가격,naver,미국 주택가격 상승세 둔화 지속,"['미국', '주택', '가격', '상승세', '둔화', '지속']",1
바닥만 다지는 대구 부동산,http://www.phmbc.co.kr/www/news/desk_news?idx=195981&mode=view,주택 가격,naver,바닥만 다지는 대구 부동산,"['바닥', '만', '다지는', '대구', '부동산']",2
중대형 아파트 집값 상승세 주도한다,http://www.ikld.kr/news/articleView.html?idxno=312899,똘똘한 한 채,naver,중대형 아파트 집값 상승세 주도한다,"['중대', '형', '아파트', '집값', '상승세', '주도한다']",1
독일 승용차 타이어 시장동향,http://dream.kotra.or.kr/kotranews/cms/news/actionKotraBoardDetail.do?SITE_NO=3&MENU_ID=190&CONTENTS_NO=2&bbsGbn=254&bbsSn=254&pNttSn=228821,부동산 규제,naver,독일 승용차 타이어 시장동향,"['독일', '승용차', '타이어', '시장', '동향']",2
기후가 경제다,http://www.kihoilbo.co.kr/news/articleView.html?idxno=1143507,부동산 정책,naver,기후가 경제다,"['기후', '경제', '다']",2
정책은 일관성과 신뢰가 생명,http://www.ifs.or.kr/bbs/board.php?bo_table=News&wr_id=54981,종부세,naver,정책은 일관성과 신뢰가 생명,"['정책', '일관', '성과', '신뢰', '생명']",2
순천시 생애최초 주택 구매 300만 원 감면,http://www.namdonews.com/news/articleView.html?idxno=819252,취득세,naver,순천시 생애최초 주택 구매 300만 원 감면,"['순천시', '생애', '최초', '주택', '구매', '300만', '원', '감면']",2
대구시 청렴도가 급상승한 비결,https://n.news.naver.com/mnews/article/262/0000018288?sid=102,부동산 세금 회피,naver,대구시 청렴도가 급상승한 비결,"['대구시', '청렴', '급상승', '비결']",1
시민이 이렇게까지 호소한다,https://n.news.naver.com/mnews/article/036/0000051624?sid=100,전세 사기,naver,시민이 이렇게까지 호소한다,"['시민', '이렇게', '까지', '호소', '한다']",2
수원 전세사기 일당의 뻔뻔한 2차 가해,https://n.news.naver.com/mnews/article/053/0000049778?sid=100,깡통전세,naver,수원 전세사기 일당의 뻔뻔한 2차 가해,"['수원', '전세', '사기', '일당', '뻔', '뻔한', '2', '차', '가해']",0
160억 규모 깡통전세사기 일당 검거,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160292107481677,깡통전세,naver,160억 규모 깡통전세사기 일당 검거,"['160억', '규모', '깡통', '전세', '사기', '일당', '검거']",0
전세사기에 위조 대출 160억 가로챈 일당 검거,https://n.news.naver.com/mnews/article/310/0000125531?sid=102,깡통전세,naver,전세사기에 위조 대출 160억 가로챈 일당 검거,"['전', '세', '사기', '위조', '대출', '160억', '가로', '챈', '일당', '검거']",0
빌라 122채 사들여 50억 가로챈 전세사기 일당 잡았다,https://www.cctoday.co.kr/news/articleView.html?idxno=2211769,깡통전세,naver,빌라 122채 사들여 50억 가로챈 전세사기 일당 잡았다,"['빌라', '122', '채', '사들여', '50억', '가로', '챈', '전세', '사기', '일당', '잡았다']",0
빌라 122채 무자본 매입해 50억 원 가로챈 전세사기 일당 검거,https://n.news.naver.com/mnews/article/079/0004021162?sid=102,깡통전세,naver,빌라 122채 무자본 매입해 50억 원 가로챈 전세사기 일당 검거,"['빌라', '122', '채', '무', '자본', '매입', '해', '50억', '원', '가로', '챈', '전세', '사기', '일당', '검거']",0
무자본 갭투자 통해 50억대 전세 사기 적발,https://www.kukinews.com/article/view/kuk202505070061,깡통전세,naver,무자본 갭투자 통해 50억대 전세 사기 적발,"['무', '자본', '갭', '투자', '통해', '50억', '대', '전세', '사기', '적발']",0
갭투자로 122채 빌라 매입 뒤 전세사기 50억 편취 일당 검거,https://n.news.naver.com/mnews/article/421/0008234137?sid=102,깡통전세,naver,갭투자로 122채 빌라 매입 뒤 전세사기 50억 편취 일당 검거,"['갭', '투자', '로', '122', '채', '빌라', '매입', '뒤', '전세', '사기', '50억', '편취', '일당', '검거']",0
부동산 컨설팅 업자 등 전세 사기 일당 검거,http://www.idjnews.kr/news/articleView.html?idxno=209736,깡통전세,naver,부동산 컨설팅 업자 등 전세 사기 일당 검거,"['부동산', '컨설팅', '업자', '등', '전세', '사기', '일당', '검거']",0
대구 전세사기 희생자 1주기 기자회견,https://n.news.naver.com/mnews/article/003/0013220437?sid=102,깡통전세,naver,대구 전세사기 희생자 1주기 기자회견,"['대구', '전세', '사기', '희생', '1', '주기', '기자회견']",0
대구 전세사기 희생자 1주기 추모,https://n.news.naver.com/mnews/article/003/0013220432?sid=102,깡통전세,naver,대구 전세사기 희생자 1주기 추모,"['대구', '전세', '사기', '희생', '1', '주기', '추모']",0
전세사기 희생자 분향소 설치된 대구,https://n.news.naver.com/mnews/article/001/0015366233?sid=102,깡통전세,naver,전세사기 희생자 분향소 설치된 대구,"['전세', '사기', '희생', '분향소', '설치', '된', '대구']",0
고객 22만명 개인정보 불법 유출 저축은행 직원 등 무더기 적발,https://n.news.naver.com/mnews/article/002/0002387993?sid=102,불법중개,naver,고객 22만명 개인정보 불법 유출 저축은행 직원 등 무더기 적발,"['고객', '22만', '명', '개인정보', '불법', '유출', '저축은행', '직원', '등', '무더기', '적발']",2
저축은행 직원이 돈 받고 고객 22만명 개인정보 판매,https://n.news.naver.com/mnews/article/277/0005590965?sid=102,불법중개,naver,저축은행 직원이 돈 받고 고객 22만명 개인정보 판매,"['저축은행', '직원', '돈', '받고', '고객', '22만', '명', '개인정보', '판매']",2
대출신청 22만명 고객정보 돈 받고 판 저축은행 직원 적발,https://n.news.naver.com/mnews/article/032/0003368872?sid=101,불법중개,naver,대출신청 22만명 고객정보 돈 받고 판 저축은행 직원 적발,"['대출', '신청', '22만', '명', '고객정보', '돈', '받고', '판', '저축은행', '직원', '적발']",2
고객 22만 명 개인정보 불법 판매한 저축은행 직원 등 12명 검거,https://n.news.naver.com/mnews/article/055/0001257112?sid=102,불법중개,naver,고객 22만 명 개인정보 불법 판매한 저축은행 직원 등 12명 검거,"['고객', '22만', '명', '개인정보', '불법', '판매', '저축은행', '직원', '등', '12', '명', '검거']",2
경북 전세사기 피해자 대책위원회 발족,https://www.yeongnam.com/web/view.php?key=20250508027565393,불법중개,naver,경북 전세사기 피해자 대책위원회 발족,"['경북', '전세', '사기', '피해자', '대책', '위원회', '발족']",0
160억 원 상당 전세사기 및 대출 사기범 일당 검거,https://vop.co.kr/A00001670506.html,불법중개,naver,160억 원 상당 전세사기 및 대출 사기범 일당 검거,"['160억', '원', '상당', '전세', '사기', '및', '대출', '사', '기범', '일당', '검거']",0
